bookTitles,bookGenres
The Hunger Games,"Young Adult,Fiction,Dystopia,Fantasy,Science Fiction"
Harry Potter and the Order of the Phoenix,"Fantasy,Young Adult,Fiction"
To Kill a Mockingbird,"Classics,Fiction,Historical Fiction,Academic,School"
Pride and Prejudice,"Classics,Fiction,Romance"
Twilight,"Young Adult,Fantasy,Romance,Paranormal,Vampires,Fiction,Paranormal"
The Book Thief,"Historical Fiction,Fiction,Young Adult"
Animal Farm,"Classics,Fiction,Dystopia,Fantasy,Literature,Science Fiction"
The Chronicles of Narnia,"Fantasy,Classics,Fiction,Young Adult,Childrens,Christian,Adventure,Science Fiction Fantasy,Christian, Fiction,Childrens,Middle Grade,Science Fiction"
The Lord of the Rings,"Fantasy,Fiction,Classics"
Gone with the Wind,"Classics,Historical Fiction,Fiction,Romance,Historical"
The Fault in Our Stars,"Young Adult,Fiction,Romance,Contemporary"
The Giving Tree,"Childrens,Picture Books,Classics,Fiction"
Wuthering Heights,"Classics,Fiction,Romance,Gothic,Literature,Historical Fiction,19th Century,Classic Literature,Novels,Historical"
The Da Vinci Code,"Fiction,Mystery,Thriller,Suspense"
Memoirs of a Geisha,"Fiction,Historical Fiction,Romance,Historical,Classics"
The Picture of Dorian Gray,"Classics,Fiction,Horror,Fantasy"
Alice's Adventures in Wonderland,"Classics,Fantasy,Fiction,Childrens"
Les Misérables,"Classics,Fiction,Historical Fiction,Literature,Cultural,France,Historical,Novels,European Literature,French Literature,Romance,Classic Literature"
Jane Eyre,"Classics,Fiction,Romance,Historical Fiction,Literature,Gothic,Historical,19th Century,Classic Literature,Academic,School"
Divergent,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy"
Romeo and Juliet,"Classics,Plays,Fiction,Romance"
Lord of the Flies,"Classics,Fiction,Young Adult,Academic,School"
The Alchemist,"Fiction,Classics,Fantasy,Philosophy"
Crime and Punishment,"Classics,Fiction,Cultural,Russia,Literature,Russian Literature"
The Perks of Being a Wallflower,"Young Adult,Fiction,Contemporary"
Ender's Game,"Science Fiction,Fiction,Young Adult,Fantasy"
City of Bones,"Fantasy,Young Adult,Fantasy,Paranormal,Romance"
The Great Gatsby,"Classics,Fiction,Academic,School,Literature"
The Help,"Fiction,Historical Fiction,Historical,Adult"
Anne of Green Gables,"Classics,Fiction,Young Adult,Childrens,Historical,Historical Fiction"
